# Las Cruces (Up to date)
# 1785 data points written for 54 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (61.3 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0,0,0,4.2804,0,4.3224,0,0,0,0,0,0.60156,33,-107,9.7914,82,0,0,0,35309,11267,32.495,0.12143,NaN,214.43,NaN,0.013725,850948,494.98,6.8103e-4,0.52946,0.0033257,0.44848,0.020701,0.060276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,15.24,182.41,82,0,NaN,34.243,848.49,352.05,0.01,0.01613
0.01,2.1402e-4,0.042804,32.045,0.043224,32.359,3.0078e-5,0,3.0078e-5,0,0.0060156,4.5036,33,-107,9.7914,81.489,0,0,0,35309,11267,32.495,0.12143,NaN,214.43,NaN,0.013632,845146,1484.9,8.0522e-4,0.53007,0.0039864,0.4491,0.020701,0.060276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.3085e-6,15.24,182.41,82,0,NaN,34.243,848.49,352.05,0.01,0.01919
0.02,0.0022447,0.36335,59.829,0.36692,60.417,3.1547e-4,0,3.1547e-4,0,0.051066,8.4085,33,-107,9.7914,77.675,0,0,0,35298,11256,32.488,0.12142,NaN,214.41,NaN,0.013687,848568,2474.9,0.0023575,0.52971,0.011577,0.44873,0.020701,0.060276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.5063e-5,15.24,182.41,82,0,NaN,34.243,848.49,352.05,0.01,0.022236
0.03,0.0088704,0.96182,87.631,0.97127,88.492,0.0012467,0,0.0012467,0,0.13518,12.316,33,-107,9.7914,70.782,0,0,0,35288,11245,32.481,0.1214,NaN,214.39,NaN,0.014044,870704,3464.8,0.008609,0.52739,0.040155,0.44641,0.020701,0.060277,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1928e-4,15.24,182.41,82,0,NaN,34.243,848.49,352.05,0.01,0.028435
0.04,0.022871,1.8384,107.08,1.8564,108.14,0.0032143,0,0.0032143,0,0.25837,15.05,33,-107,9.7914,61.564,0,0,0,35277,11235,32.474,0.12139,NaN,214.37,NaN,0.014956,927225,4156.8,0.027601,0.52179,0.11352,0.44081,0.020702,0.060279,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2799e-4,15.24,182.41,82,0,NaN,34.243,848.49,352.05,0.01,0.032145
0.05,0.046611,2.9097,114.81,2.9383,115.94,0.0065507,0,0.0065507,0,0.40893,16.136,33,-107,9.7914,52.027,0,0,0,35260,11218,32.462,0.12137,NaN,214.33,NaN,0.016543,1025659,4430.1,0.068128,0.51304,0.229,0.43206,0.020703,0.060282,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.6085e-4,15.24,182.41,82,0,NaN,34.243,848.49,352.05,0.01,0.039064
0.06,0.081451,4.0585,115.58,4.0984,116.72,0.011447,0,0.011447,0,0.57038,16.244,33,-107,9.7914,44.231,0,0,0,35237,11195,32.447,0.12134,NaN,214.28,NaN,0.018822,1166942,4454.6,0.13131,0.50222,0.34097,0.42123,0.020704,0.060287,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.0333e-4,15.24,182.41,82,0,NaN,34.243,848.49,352.05,0.01,0.050645
0.07,0.12782,5.215,116.14,5.2662,117.28,0.017964,0,0.017964,0,0.73292,16.322,33,-107,9.7914,38.168,0,0,0,35214,11171,32.431,0.12131,NaN,214.23,NaN,0.021389,1326103,4471.5,0.21286,0.49189,0.42802,0.41089,0.020706,0.060294,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.4676e-4,15.24,182.41,82,0,NaN,34.243,848.49,352.05,0.01,0.054583
0.08,0.18578,6.3771,116.7,6.4397,117.84,0.026109,0,0.026109,0,0.89624,16.401,33,-107,9.7914,33.424,0,0,0,35190,11147,32.415,0.12128,NaN,214.18,NaN,0.024157,1497702,4488.3,0.31019,0.48242,0.489,0.40141,0.020709,0.060302,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.9088e-4,15.24,182.41,82,0,NaN,34.243,848.49,352.05,0.01,0.062348
0.09,0.25539,7.5447,117.25,7.6189,118.41,0.035892,0,0.035892,0,1.0603,16.479,33,-107,9.7914,29.658,0,0,0,35166,11124,32.398,0.12126,NaN,214.13,NaN,0.02707,1678298,4505.2,0.4213,0.47385,0.5289,0.39283,0.020712,0.060312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.3569e-4,15.24,182.41,82,0,NaN,34.243,848.49,352.05,0.01,0.065638
0.1,0.3367,8.718,117.5,8.8036,118.65,0.04732,0,0.04732,0,1.2252,16.513,33,-107,9.7914,26.62,0,0,0,35142,11100,32.382,0.12123,NaN,214.08,NaN,0.030092,1865611,4511,0.54467,0.46613,0.55338,0.38509,0.020715,0.060323,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010812,15.24,182.41,82,0,NaN,34.243,848.49,352.05,0.01,0.068917
0.11,0.42976,9.8937,117.29,9.9909,118.44,0.060398,0,0.060398,0,1.3905,16.484,33,-107,9.7914,23.864,0,0,0,35118,11076,32.366,0.1212,NaN,214.03,NaN,0.033089,2051475,4500.5,0.67764,0.4594,0.56937,0.37834,0.020719,0.060336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001227,15.24,182.41,82,0,NaN,34.242,848.49,352.05,0.01,0.072127
0.12,0.53456,11.067,117.07,11.176,118.22,0.075127,0,0.075127,0,1.5554,16.453,33,-107,9.7914,21.574,0,0,0,35094,11052,32.35,0.12117,NaN,213.98,NaN,0.036146,2240940,4489.9,0.81877,0.45329,0.57654,0.37222,0.020723,0.060349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0013725,15.24,182.41,82,0,NaN,34.242,848.48,352.05,0.01,0.078936
0.13,0.65109,12.239,116.85,12.359,118,0.091504,0,0.091504,0,1.72,16.422,33,-107,9.7914,19.646,0,0,0,35070,11028,32.333,0.12114,NaN,213.93,NaN,0.039244,2433060,4479.2,0.96713,0.44775,0.5777,0.36665,0.020728,0.060365,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0015178,15.24,182.41,82,0,NaN,34.242,848.48,352.05,0.01,0.081042
0.14,0.77932,13.408,116.63,13.54,117.78,0.10953,0,0.10953,0,1.8843,16.392,33,-107,9.7914,18.005,0,0,0,35046,11004,32.317,0.12111,NaN,213.88,NaN,0.042375,2627160,4468.6,1.122,0.44268,0.57484,0.36157,0.020733,0.060381,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0016628,15.24,182.41,82,0,NaN,34.242,848.48,352.05,0.01,0.083169
0.15,0.91923,14.575,116.41,14.718,117.56,0.12919,0,0.12919,0,2.0484,16.361,33,-107,9.7914,16.593,0,0,0,35022,10980,32.301,0.12108,NaN,213.83,NaN,0.04553,2822746,4458,1.2826,0.43804,0.56923,0.3569,0.020739,0.060399,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0018076,15.24,182.41,82,0,NaN,34.241,848.48,352.05,0.01,0.085535
0.16,1.0708,15.74,116.19,15.894,117.34,0.15049,0,0.15049,0,2.2121,16.33,33,-107,9.7914,15.503,0,0,0,34998,10956,32.285,0.12105,NaN,213.78,NaN,0.048753,3022569,4447.4,1.4493,0.43371,0.56097,0.35254,0.020745,0.060419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001952,15.24,182.41,82,0,NaN,34.241,848.47,352.05,0.01,0.087843
0.17,1.234,16.902,115.98,17.068,117.12,0.17343,0,0.17343,0,2.3755,16.299,33,-107,9.7914,14.55,0,0,0,34974,10932,32.268,0.12103,NaN,213.73,NaN,0.051986,3222972,4436.7,1.6197,0.42971,0.55136,0.34852,0.020751,0.060441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0020962,15.24,182.41,82,0,NaN,34.241,848.47,352.05,0.01,0.093175
0.18,1.4088,18.063,115.76,18.24,116.89,0.198,0,0.198,0,2.5386,16.268,33,-107,9.7914,13.711,0,0,0,34950,10908,32.252,0.121,NaN,213.68,NaN,0.055225,3423781,4426.1,1.7945,0.42601,0.54131,0.34479,0.020758,0.060463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0022401,15.24,182.41,82,0,NaN,34.24,848.47,352.05,0.01,0.094754
0.19,1.5953,19.221,115.66,19.41,116.8,0.2242,0,0.2242,0,2.7013,16.255,33,-107,9.7914,12.966,0,0,0,34926,10884,32.235,0.12097,NaN,213.62,NaN,0.058469,3624860,4420,1.9743,0.42258,0.53132,0.34133,0.020765,0.060487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0023838,15.24,182.41,82,0,NaN,34.24,848.46,352.05,0.01,0.096602
0.2,1.7933,20.378,115.7,20.579,116.84,0.25203,0,0.25203,0,2.864,16.26,33,-107,9.7913,12.3,0,0,0,34902,10860,32.219,0.12094,NaN,213.57,NaN,0.061718,3826326,4418.5,2.1599,0.41938,0.52165,0.33809,0.020773,0.060513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0025273,15.24,182.41,82,0,NaN,34.24,848.46,352.05,0.01,0.098774
0.21,2.0028,21.536,115.73,21.748,116.87,0.28148,0,0.28148,0,3.0267,16.265,33,-107,9.7913,11.487,0,0,0,34879,10837,32.203,0.12091,NaN,213.52,NaN,0.064891,4022990,4416.9,2.3365,0.41645,0.51049,0.33513,0.020781,0.060539,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0026709,15.24,182.41,82,0,NaN,34.239,848.46,352.05,0.01,0.10052
0.22,2.224,22.694,115.77,22.917,116.91,0.31256,0,0.31256,0,3.1894,16.27,33,-107,9.7913,10.75,0,0,0,34855,10813,32.187,0.12088,NaN,213.47,NaN,0.068076,4220447,4415.4,2.5177,0.41369,0.49981,0.33233,0.02079,0.060567,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0028145,15.24,182.41,82,0,NaN,34.239,848.45,352.05,0.01,0.10182
0.23,2.4567,23.852,115.81,24.087,116.94,0.34527,0,0.34527,0,3.3522,16.275,33,-107,9.7913,10.079,0,0,0,34832,10790,32.171,0.12085,NaN,213.42,NaN,0.071272,4418601,4413.8,2.704,0.41108,0.48973,0.32969,0.020799,0.060596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0029582,15.24,182.41,82,0,NaN,34.239,848.45,352.05,0.01,0.10309
0.24,2.701,25.011,115.84,25.257,116.98,0.3796,0,0.3796,0,3.5151,16.28,33,-107,9.7913,9.466,0,0,0,34808,10766,32.154,0.12083,NaN,213.37,NaN,0.074479,4617369,4412.2,2.896,0.40861,0.48031,0.32718,0.020808,0.060626,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0031019,15.24,182.41,82,0,NaN,34.238,848.44,352.05,0.01,0.1043
0.25,2.9569,26.17,115.88,26.427,117.02,0.41557,0,0.41557,0,3.678,16.285,33,-107,9.7913,8.9032,0,0,0,34784,10742,32.138,0.1208,NaN,213.32,NaN,0.077694,4816683,4410.7,3.0939,0.40627,0.47154,0.32479,0.020818,0.060658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0032456,15.24,182.41,82,0,NaN,34.238,848.44,352.05,0.01,0.10541
0.26,3.2244,27.33,115.91,27.598,117.05,0.45316,0,0.45316,0,3.8409,16.29,33,-107,9.7913,8.7828,0,0,0,34761,10719,32.122,0.12077,NaN,213.27,NaN,0.081085,5026867,4409.1,3.3412,0.40393,0.46754,0.32241,0.020829,0.060693,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0033894,15.24,182.41,82,0,NaN,34.237,848.43,352.05,0.01,0.10655
0.27,3.5035,28.489,115.94,28.769,117.08,0.49239,0,0.49239,0,4.0039,16.295,33,-107,9.7913,8.672,0,0,0,34737,10695,32.106,0.12074,NaN,213.22,NaN,0.084477,5237129,4407.6,3.5975,0.40171,0.4638,0.32014,0.02084,0.06073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0035332,15.24,182.41,82,0,NaN,34.237,848.43,352.05,0.01,0.10843
0.28,3.7942,29.65,115.98,29.941,117.12,0.53324,0,0.53324,0,4.167,16.3,33,-107,9.7913,8.5697,0,0,0,34714,10671,32.089,0.12071,NaN,213.17,NaN,0.08787,5447465,4406,3.8628,0.39961,0.46029,0.31799,0.020852,0.060768,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0036771,15.24,182.41,82,0,NaN,34.236,848.42,352.05,0.01,0.10979
0.29,4.0965,30.81,116.01,31.113,117.15,0.57573,0,0.57573,0,4.3301,16.304,33,-107,9.7913,8.4748,0,0,0,34690,10648,32.073,0.12068,NaN,213.12,NaN,0.091264,5657874,4404.5,4.137,0.3976,0.45698,0.31593,0.020864,0.060808,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003821,15.24,182.41,82,0,NaN,34.235,848.42,352.05,0.01,0.1108
0.3,4.4104,31.971,116.04,32.285,117.18,0.61984,0,0.61984,0,4.4932,16.309,33,-107,9.7913,8.3867,0,0,0,34666,10624,32.057,0.12066,NaN,213.07,NaN,0.09466,5868354,4402.9,4.4202,0.39569,0.45386,0.31397,0.020876,0.060849,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003965,15.24,182.41,82,0,NaN,34.235,848.41,352.05,0.01,0.11187
0.31,4.7359,33.132,116.08,33.458,117.22,0.66559,0,0.66559,0,4.6564,16.314,33,-107,9.7913,7.9729,0,0,0,34643,10601,32.04,0.12063,NaN,213.01,NaN,0.097892,6068729,4401.4,4.6616,0.39396,0.44756,0.31218,0.020889,0.06089,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.004109,15.24,182.41,82,0,NaN,34.234,848.41,352.04,0.01,0.11293
0.32,5.0731,34.293,116.11,34.63,117.25,0.71297,0,0.71297,0,4.8196,16.318,33,-107,9.7913,7.5856,0,0,0,34619,10577,32.024,0.1206,NaN,212.96,NaN,0.10113,6269457,4399.8,4.9096,0.39229,0.44167,0.31046,0.020902,0.060932,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.004253,15.24,182.41,82,0,NaN,34.234,848.4,352.04,0.01,0.11398
0.33,5.4218,35.455,116.03,35.804,117.29,0.76198,0,0.76198,0,4.9829,17.14,33,-107,9.7913,7.2222,0,0,0,34596,10553,32.008,0.12057,234.15,212.91,1.3933,0.10437,6470513,4397.9,5.1645,0.39069,0.43617,0.3088,0.020915,0.060975,1.5594,2.173,4.4185e-4,0,0,0,0,0,0.0043971,15.24,182.41,82,0,NaN,34.233,848.39,352.04,0.015,0.11519
0.345,5.9667,37.197,116.05,37.564,117.31,0.83866,4.5274e-8,0.83866,3.093e-6,5.2402,17.143,33,-107,9.7913,6.7349,0,0.10829,0,34566,10524,31.987,0.12054,235.19,212.85,1.4662,0.10925,6772906,4394.9,5.5624,0.3884,0.42877,0.30642,0.020936,0.061043,1.4247,2.0894,-4.7853e-4,0,0,0,0,2.135e-5,0.0046134,15.24,182.41,81.999,2.8368e-7,NaN,34.232,848.38,352.04,0.0225,0.11629
0.3675,6.833,39.81,116.09,40.206,117.35,0.9609,2.8985e-7,0.9609,1.7283e-5,5.6261,17.139,33,-107,9.7913,6.2376,0,0.28238,8.5684e-7,34522,10480,31.956,0.12048,236.32,212.75,1.5464,0.11667,7232631,4392.2,6.2196,0.38516,0.42041,0.30304,0.02097,0.061153,1.2917,1.9972,-9.4446e-5,0,0,0,0,1.2729e-4,0.004938,15.24,182.41,81.995,-5.6389e-8,NaN,34.23,848.37,352.04,0.03375,0.11727
0.40125,8.2428,43.735,116.38,44.173,117.64,1.1606,1.0836e-6,1.1606,5.3496e-5,6.2054,17.177,33,-107,9.7913,5.6541,0,0.57359,-2.3058e-5,34455,10413,31.91,0.1204,237.72,212.61,1.6476,0.12786,7925920,4395.5,7.2889,0.38077,0.41027,0.29841,0.021026,0.061331,1.1414,1.8801,-7.1209e-5,0,0,0,0,4.3735e-4,0.0054254,15.24,182.41,81.98,1.9707e-6,NaN,34.228,848.34,352.04,0.05,0.11819
0.45125,10.575,49.569,116.84,50.07,118.11,1.4923,3.2992e-6,1.4923,1.2667e-4,7.0669,17.279,33,-107,9.7913,4.9613,0,1.0727,-6.1087e-5,34356,10314,31.84,0.12028,239.49,212.39,1.7786,0.14452,8958705,4400,9.0397,0.3751,0.39825,0.29235,0.021118,0.061628,0.97093,1.7256,2.2351e-4,0,0,0,0,0.0011971,0.0061499,15.24,182.41,81.94,1.757e-5,NaN,34.223,848.3,352.04,0.05,0.1191
0.50125,13.2,55.427,117.34,55.993,118.63,1.8674,6.9128e-6,1.8674,2.121e-4,7.936,17.473,33,-107,9.7913,4.2823,0,1.6462,2.3333e-5,34238,10196,31.757,0.12014,241.36,212.13,1.9185,0.16122,9993169,4404.6,10.954,0.37025,0.38784,0.28707,0.021222,0.061961,0.81217,1.5558,-4.2386e-6,0,0,0,0,0.002266,0.0068776,15.24,182.41,81.872,3.7581e-5,NaN,34.218,848.25,352.04,0.05,0.12003
0.55125,16.119,61.31,117.82,61.941,119.15,2.2861,1.2097e-5,2.2861,3.0317e-4,8.8168,17.751,33,-107,9.7913,3.6735,0,2.2807,1.2331e-4,34120,10078,31.673,0.12,243.16,211.86,2.0539,0.17799,11032298,4409.1,13.054,0.36604,0.37921,0.28237,0.021339,0.062332,0.67688,1.3869,-4.187e-4,0,0,0,0,0.0035682,0.0076085,15.24,182.41,81.774,2.418e-5,NaN,34.213,848.19,352.03,0.05,0.12145
0.60125,19.332,67.218,118.29,67.916,119.67,2.7493,1.9e-5,2.7493,3.9597e-4,9.7127,18.079,33,-107,9.7913,3.2827,0,2.9764,2.307e-4,34001,9959.2,31.589,0.11986,244.41,211.6,2.1534,0.19495,12083383,4413.6,15.4,0.36234,0.37293,0.27812,0.02147,0.062745,0.59374,1.2733,4.7274e-4,0,0,0,0,0.0050654,0.0083427,15.24,182.41,81.643,-1.8848e-5,NaN,34.207,848.13,352.03,0.05,0.12256
0.65125,22.841,73.148,118.75,73.916,120.18,3.2577,2.7753e-5,3.2577,4.8811e-4,10.627,18.487,33,-107,9.7913,2.9719,0,3.7431,3.9634e-4,33883,9840.8,31.504,0.11972,245.47,211.33,2.2402,0.21205,13142230,4418.2,17.967,0.35907,0.36779,0.27425,0.021615,0.0632,0.52968,1.1801,2.5942e-4,0,0,0,0,0.0067718,0.0090802,15.24,182.41,81.475,-6.848e-5,NaN,34.2,848.07,352.02,0.05,0.12357
0.70125,26.647,79.101,119.19,79.942,120.7,3.8124,3.8457e-5,3.8124,5.7797e-4,11.565,19.039,33,-107,9.7913,2.5524,0,4.5597,6.1897e-4,33765,9722.5,31.419,0.11957,246.92,211.06,2.3533,0.22913,14200543,4422.7,20.687,0.35619,0.36269,0.27072,0.021774,0.063692,0.44566,1.0401,1.7132e-4,0,0,0,0,0.0086062,0.009821,15.24,182.41,81.268,-1.4478e-4,NaN,34.193,848,352.02,0.05,0.12626
0.75125,30.751,85.074,119.59,85.993,121.21,4.4148,5.1194e-5,4.4148,6.6441e-4,12.534,19.726,33,-107,9.7913,2.1053,0,5.3815,8.2205e-4,33646,9604.2,31.333,0.11943,248.54,210.79,2.4774,0.24627,15261849,4427.3,23.593,0.35364,0.35811,0.26747,0.021947,0.064224,0.35948,0.88063,1.6842e-4,0,0,0,0,0.010378,0.010565,15.24,182.41,81.019,-2.3582e-4,NaN,34.185,847.92,352.02,0.05,0.12722
0.80125,35.155,91.068,119.98,92.069,121.72,5.0665,6.6032e-5,5.0665,7.4674e-4,13.54,20.498,33,-107,9.7912,1.7593,0,6.1869,8.9479e-4,33528,9485.8,31.246,0.11929,249.89,210.52,2.5834,0.26358,16333155,4431.8,26.751,0.35136,0.35451,0.26442,0.022136,0.0648,0.29527,0.75056,-2.3297e-4,0,0,0,0,0.011975,0.011313,15.24,182.41,80.73,-2.732e-4,NaN,34.177,847.84,352.01,0.05,0.12817
0.85125,39.858,97.081,120.35,98.171,122.23,5.7695,8.3076e-5,5.7695,8.2502e-4,14.587,21.351,33,-107,9.7912,1.502,0,6.9801,0.0014077,33410,9367.5,31.16,0.11915,250.96,210.24,2.6717,0.28105,17414933,4436.4,30.165,0.34932,0.35163,0.26155,0.022343,0.065421,0.24897,0.65211,4.4263e-5,0,0,0,0,0.013406,0.012063,15.24,182.41,80.401,-3.0899e-4,NaN,34.168,847.75,352,0.05,0.12909
0.90125,44.863,103.11,120.69,104.3,122.74,6.5259,1.0244e-4,6.5259,8.994e-4,15.679,22.346,33,-107,9.7912,1.1888,0,7.7358,0.0018181,33291,9249.2,31.072,0.11901,252.28,209.96,2.7767,0.29857,18499183,4440.9,33.782,0.34751,0.34897,0.25886,0.022566,0.066084,0.19399,0.52383,-4.8768e-4,0,0,0,0,0.014591,0.012818,15.24,182.41,80.032,-3.3203e-4,NaN,34.158,847.66,352,0.05,0.13004
0.95125,50.17,109.16,121.02,110.45,123.3,7.3383,1.2424e-4,7.3383,9.7e-4,16.827,23.571,33,-107,9.7912,0.67274,0,8.328,0.0036194,33173,9130.8,30.985,0.11886,254.47,209.68,2.9388,0.31596,19575171,4447,37.55,0.34594,0.34641,0.25635,0.022804,0.066782,0.10681,0.2991,-1.9618e-4,0,0,0,0,0.015101,0.013575,15.24,182.41,79.63,-3.3246e-4,NaN,34.148,847.56,351.99,0.05,0.13097
1.0013,55.779,115.22,121.47,116.62,123.98,8.2097,1.4865e-4,8.2097,0.0010375,18.037,24.838,33,-107,9.7912,0.30864,0,8.677,0.0082837,33053,9011,30.895,0.11872,256.15,209.4,3.0676,0.33359,20665484,4457.3,41.636,0.34453,0.34463,0.25394,0.023063,0.067529,0.048079,0.13244,3.5961e-4,0,0,0,0,0.014707,0.014336,15.24,182.41,79.204,-2.899e-4,NaN,34.138,847.45,351.99,0.05,0.13188
1.0513,61.692,121.3,121.89,122.83,124.68,9.1432,1.7593e-4,9.1432,0.0011025,19.313,26.228,33,-107,9.7912,0.14025,0,-8.7192,0.019024,32931,8889.1,30.803,0.11857,257.04,209.11,3.1454,0.3512,21754417,4467.8,45.967,0.34331,0.34333,0.25166,0.023339,0.068316,0.021683,0.081621,-4.395e-4,0,0,0,0,-0.013399,0.015102,15.24,182.41,78.767,-1.659e-4,NaN,34.127,847.34,351.98,0.05,0.13282
1.1013,67.91,127.41,122.3,129.07,125.38,10.142,2.064e-4,10.142,0.001166,20.66,27.632,33,-107,9.7911,0.52786,0,-8.3623,0.0051461,32809,8766.7,30.711,0.11843,255.58,208.81,3.0685,0.36893,22850964,4478.3,50.603,0.34225,0.34254,0.24946,0.023636,0.06915,0.083693,0.2678,-5.4628e-6,0,0,0,0,-0.011169,0.015873,15.24,182.41,78.339,-9.1969e-6,NaN,34.115,847.22,351.97,0.05,0.13369
1.1513,74.434,133.54,122.7,135.35,126.08,11.21,2.4045e-4,11.21,0.0012289,22.076,29.009,33,-107,9.7911,0.86758,0,-7.5802,0.0031831,32686,8644.2,30.618,0.11828,254.39,208.52,3.0098,0.38676,23952817,4488.8,55.533,0.34134,0.34211,0.24736,0.023956,0.07003,0.14063,0.4317,-1.997e-4,0,0,0,0,-0.008351,0.016647,15.24,182.41,77.938,1.5425e-4,NaN,34.103,847.1,351.97,0.05,0.13457
1.2013,81.264,139.68,123.1,141.65,126.77,12.351,2.7858e-4,12.351,0.0012923,23.559,30.274,33,-107,9.7911,1.1308,0,-6.3618,0.0026134,32564,8521.8,30.524,0.11813,253.55,208.22,2.9749,0.40469,25060822,4499.3,60.75,0.34058,0.34187,0.24532,0.024299,0.070956,0.18652,0.55982,2.793e-4,0,0,0,0,-0.0053728,0.017427,15.24,182.41,77.588,4.002e-4,NaN,34.09,846.97,351.96,0.05,0.13543
1.2513,88.402,145.85,123.56,147.99,127.46,13.567,3.2134e-4,13.567,0.001357,25.099,31.262,33,-107,9.7911,1.2222,0,-4.792,0.0023389,32441,8399.3,30.43,0.11799,253.42,207.92,2.9857,0.42284,26182539,4509.8,66.231,0.33995,0.34146,0.24334,0.024669,0.071937,0.20323,0.60915,2.1722e-4,0,0,0,0,-0.0027923,0.018211,15.24,182.41,77.308,6.9598e-4,NaN,34.076,846.84,351.95,0.05,0.13628
1.3013,95.849,152.04,124.06,154.36,128.14,14.862,3.6955e-4,14.862,0.0014247,26.684,32.079,33,-107,9.7911,1.3147,0,-2.9249,0.0025741,32319,8276.9,30.335,0.11784,253.29,207.61,2.9973,0.44096,27301535,4520.3,71.962,0.33946,0.34119,0.24144,0.025063,0.072959,0.22039,0.66113,-3.9373e-4,0,0,0,0,-9.5663e-4,0.018999,15.24,182.41,77.114,0.0010902,NaN,34.062,846.7,351.94,0.05,0.13712
1.3513,103.61,158.26,124.64,160.77,128.81,16.236,4.242e-4,16.236,0.001497,28.3,32.512,33,-107,9.791,1.2627,0,-0.83673,0.0021817,32196,8154.4,30.239,0.11769,253.73,207.3,3.0462,0.45928,28425068,4530.7,77.908,0.33911,0.34071,0.23959,0.025488,0.074035,0.21175,0.64474,-2.9002e-4,0,0,0,0,-7.218e-5,0.019792,15.24,182.41,77.019,0.0015973,NaN,34.012,846.22,351.91,0.05,0.13796
1.4013,111.68,164.5,125.3,167.2,129.47,17.692,4.8648e-4,17.692,0.0015755,29.93,32.593,33,-107,9.791,1.1366,0,1.3106,0.0030167,32074,8032,30.143,0.11754,254.47,207,3.1149,0.47767,29547017,4541.2,84.072,0.3389,0.3402,0.23779,0.025944,0.075161,0.18994,0.59098,-3.3836e-4,0,0,0,0,1.6375e-4,0.020589,15.24,182.41,77.031,0.0021776,NaN,33.935,845.47,351.86,0.05,0.13879
1.4513,120.06,170.79,126.06,173.68,130.12,19.229,5.5779e-4,19.229,0.001662,31.553,32.243,33,-107,9.791,0.8963,3.5701e-7,3.3148,0.0039578,31952,7909.5,30.047,0.1174,255.68,206.68,3.2147,0.49621,30675983,4551.7,90.489,0.33881,0.33963,0.23604,0.026435,0.076339,0.14836,0.476,3.7983e-5,0,0,0,0,9.7094e-4,0.02139,15.24,182.41,77.148,0.0029212,NaN,33.856,844.7,351.82,0.05,0.13963
1.5013,128.76,177.11,126.88,180.19,130.76,20.847,6.3988e-4,20.847,0.0017587,33.15,31.597,33,-107,9.791,0.63585,3.4837e-7,4.9822,0.0040017,31829,7787.1,29.949,0.11725,257.01,206.37,3.3229,0.51476,31803141,4562.2,97.181,0.33885,0.33927,0.23433,0.026959,0.077563,0.10414,0.34386,9.9336e-5,0,0,0,0,0.0020388,0.022196,15.24,182.41,77.357,0.0036268,NaN,33.773,843.9,351.77,0.05,0.14043
